	Chordaria_linearis	Porterinema_fluviatile
CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P	2	2
L-XYLULOSE-5-P	0	1
CPD-16467	1	0
4-HYDROXY-BUTYRATE	0	1
3-P-HYDROXYPYRUVATE	2	4
Palmitoyl-ACPs	2	2
CPD-8886	4	4
Cytochromes-C-Reduced	4	4
L-BETA-ASPARTYL-P	2	2
CARBAMYUL-L-ASPARTATE	2	2
Acetoacetyl-ACPs	2	2
UDP-OHMYR-ACETYLGLUCOSAMINE	1	1
PROPANE-1-2-DIOL	1	1
CPD-22020	2	2
CPD-12365	2	2
1-L-MYO-INOSITOL-1-P	2	2
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE	2	2
D-MANNONATE	1	0
CPD-618	2	2
CPD-24926	2	4
CPD-11495	2	2
OH-PYR	1	1
CPD-13043	1	1
CPD-12185	1	1
K+	4	4
INDOLE	2	2
PHENYLETHYLAMINE	2	2
CPD-12738	0	1
3-HYDROXY-L-KYNURENINE	1	1
CPD-22405	1	1
CPD-7046	4	4
CPD-14795	1	1
Delta6-hexadecenoyl-ACPs	1	1
3Z-PHYTOCHROMOBILIN	2	2
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	2	2
CO-A	4	4
CPD-9409	0	1
CPD-24961	0	1
7Z-hexadec-7-enoyl-ACPs	0	1
OXALACETIC_ACID	2	4
PHOSPHO-ENOL-PYRUVATE	2	4
FUM	2	2
CPD-22015	2	2
GLT	2	2
DEHYDROSPHINGANINE	2	2
XANTHINE	2	4
CPD-13907	2	2
FE+3	4	4
XYLULOSE-5-PHOSPHATE	2	4
FAD	2	2
DATP	4	4
R-3-hydroxyhexanoyl-ACPs	2	2
CPD-9646	2	1
2-METHYL-ACETO-ACETYL-COA	1	1
3-DEHYDRO-SHIKIMATE	2	4
CPD-69	4	2
CPD-13853	2	2
IMINOASPARTATE	2	2
CPD-659	2	2
N-ACETYL-D-GLUCOSAMINE-1-P	1	1
CPD-14276	2	2
RIBULOSE-5P	2	4
L-DELTA1-PYRROLINE_5-CARBOXYLATE	2	2
CPD-196	0	1
Dodec-2-enoyl-ACPs	2	2
D-LACTATE	2	4
NICOTINAMIDE_RIBOSE	3	3
2-Octenoyl-ACPs	2	2
D-ALA-D-ALA	1	1
Tetradec-2-enoyl-ACPs	2	2
CPD-302	1	0
DEHYDROQUINATE	2	4
CPD-22016	2	2
L-DI-GMP	1	1
4-OH-4-ACETYL-2-OXOGLUTARATE	2	4
Reduced-flavodoxins	4	4
RIBOFLAVIN	2	2
CU+	4	4
CPD-14133	4	4
NA+	4	4
4Z-9Z-Octadec-4-9-dienoyl-acp	1	1
CPD-654	1	1
Cis-Delta7-tetradecenoyl-ACPs	0	1
FRUCTOSE-16-DIPHOSPHATE	2	4
Stearoyl-ACPs	2	2
ALPHA-GLC-6-P	2	4
3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	2	4
Myristoyl-ACPs	2	2
1-KETO-2-METHYLVALERATE	1	1
CAMP	4	4
WATER	4	4
ENOL-PHENYLPYRUVATE	2	2
CPD-18118	1	0
D-Ribofuranose	2	4
Light	4	4
GLUTATHIONE	4	4
CPD-1136	0	1
AMINO-RIBOSYLAMINO-1H-3H-PYR-DIONE	2	2
ALPHA-GLUCOSE	2	2
CPD-20264	2	0
HCO3	4	4
L-RIBULOSE-5-P	0	3
CPD-1133	0	1
SUPER-OXIDE	4	4
DCMP	2	2
NICOTINATE_NUCLEOTIDE	4	4
CPD0-2474	4	4
CATECHOL	0	1
L-Galactopyranose	2	2
CPD0-181	1	1
CPD-10330	2	4
CL-	4	4
GERANYLGERANYL-PP	2	2
ERYTHROSE-4P	2	4
FMNH2	0	1
CPD-22004	2	2
D-BETA-D-HEPTOSE-1-P	0	1
3-5-ADP	4	2
ISOCHORISMATE	2	2
ACETYLSERINE	2	2
AMINO-ACETONE	1	1
CPD-22407	1	1
D-Glucopyranuronate	2	2
CPD-17492	2	2
OH-MYRISTOYL	1	1
cis-vaccen-2-enoyl-ACPs	1	1
GLC-6-P	2	4
CPD-227	1	3
CPD-17461	0	1
CPD-9016	0	3
DOPAQUINONE	2	0
11Z-3-oxo-icos-11-enoyl-ACPs	1	1
CPD-15979	2	4
BUTANEDIOL	0	1
7Z-3-oxo-hexadec-7-enoyl-ACPs	0	1
TARTRONATE-S-ALD	1	1
5Z-tetradec-5-enoyl-ACPs	0	1
BISOHMYR-GLUCOSAMINYL-1P	1	1
CPD-14271	2	2
D-XYLONATE	1	0
ARABINOSE-5P	1	3
Oxidized-ferredoxins	4	4
UDP-MANNAC	1	1
CPD-11855	2	4
DIHYDROFOLATE-GLU-N	2	2
CPD-22012	2	2
CPD-12367	2	2
3-oxo-myristoyl-ACPs	2	2
CPD-110	0	1
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P	2	2
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	2	2
ADENOSINE	4	4
3Z-dodec-3-enoyl-ACPs	0	1
D-METHYL-MALONYL-COA	1	1
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	2	2
L-CYSTEATE	2	2
DADP	4	4
CPD-10778	4	4
CPD-20260	2	0
N-5-PHOSPHORIBOSYL-ANTHRANILATE	2	2
3Z-PHYCOERYTHROBILIN	2	2
GERANYL-PP	2	2
CPD-18085	4	4
CPD-24871	2	2
CPD-21306	1	0
MG+2	4	4
ACETYL-ACP	2	2
PHYTYL-PYROPHOSPHATE	2	2
3-P-SERINE	2	2
CPD-12118	1	0
Oxidized-flavodoxins	4	4
CPD-14808	2	2
NADH	4	4
CAPSORUBIN	1	1
3-oxo-decanoyl-ACPs	2	2
CPD-277	0	1
CTP	2	2
D-Ribopyranose	2	4
Ubiquinols	4	4
GUANINE	2	2
FE+2	4	4
DIHYDRONEOPTERIN-P3	2	2
DIHYDRO-THYMINE	1	0
GLY	2	2
P-AMINO-BENZOATE	2	2
LEU	2	2
BR-	4	4
ADENOSYLCOBALAMIN	4	4
CYS	2	2
CPD-7836	2	2
GLC	2	2
L-ALPHA-ALANINE	2	4
NITRIC-OXIDE	2	4
N-ACETYL-D-GLUCOSAMINE-6-P	1	1
CPD-827	0	1
DCDP	2	2
S-LACTOYL-GLUTATHIONE	1	3
Octanoyl-ACPs	2	2
ASCORBATE	2	2
GLUTAMATE-1-SEMIALDEHYDE	2	2
2-DEHYDRO-3-DEOXY-D-GLUCONATE	1	0
CPD0-1110	1	0
DIMETHYL-D-RIBITYL-LUMAZINE	2	2
V+5	4	4
CPD-12116	1	0
TRYPTAMINE	2	2
CPD-380	2	2
SHIKIMATE	2	4
CPD-12253	1	1
5Z-3-oxo-tetradec-5-enoyl-ACPs	0	1
D-ALTRONATE	1	0
ADENOSYL-P4	4	2
CPD-255	0	3
ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	1	0
4-P-PANTOTHENATE	2	2
Trans-D3-cis-D5-dodecenoyl-ACPs	0	1
DEOXYCYTIDINE	1	1
N-ALPHA-ACETYLORNITHINE	2	2
CPD-18064	1	0
D-SEDOHEPTULOSE-1-7-P2	2	4
3-UREIDO-ISOBUTYRATE	1	0
CPD-316	2	2
METHYLENE-THF-GLU-N	2	4
CPDQT-4	2	2
L-PANTOATE	2	4
R-3-hydroxystearoyl-ACPs	2	2
3R-11Z-3-hydroxy-icos-11-enoyl-ACPs	1	1
ANTHRANILATE	2	2
UDP-AA-GLUTAMATE	1	1
CPD-602	2	2
NAD	4	4
CPD-24843	2	4
CPD-208	0	1
DIHYDROXY-BUTANONE-P	2	4
2-AMINOMUCONATE_SEMIALDEHYDE	1	0
PANTETHEINE-P	2	2
ADENINE	1	3
CPD1F-98	1	1
CPD-13524	1	0
2-DH-3-DO-D-ARABINONATE	1	0
2-METHYL-3-HYDROXY-BUTYRYL-COA	1	1
Cis-Delta5-dodecenoyl-ACPs	0	1
2-KETO-3-DEOXY-6-P-GLUCONATE	1	0
Octadec-2-enoyl-ACPs	2	2
CPD-22018	2	2
MN+2	4	4
FRUCTOSE-6P	2	4
PROTOPORPHYRINOGEN	2	2
L-ASPARTATE	2	2
DIHYDROFOLATE	2	2
3-KETOBUTYRATE	2	2
CPD-22008	2	2
CPD-13610	2	2
CMP-KDO	1	0
3R-9Z-3-hydroxy-octadec-9-enoyl-ACPs	0	1
CPD-22403	1	0
BILIVERDINE	2	2
CPD1F-129	1	1
DUTP	2	2
HYDROXY-METHYL-BUTENYL-DIP	2	2
CPD-19754	1	0
CPD-13914	2	2
CPD-14273	2	2
FORMAMIDE	1	0
ACET	2	2
MALONYL-ACP	2	2
PHOSPHORIBOSYL-ATP	2	2
CPD-470	1	1
CPD-13534	0	1
5-P-BETA-D-RIBOSYL-AMINE	2	2
CPD1F-133	1	1
P-HYDROXY-PHENYLPYRUVATE	2	2
7-8-DIHYDROPTEROATE	2	2
2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	2	2
THREO-DS-ISO-CITRATE	2	2
NADPH	4	4
Delta4-hexadecenoyl-ACPs	1	1
Dodecanoyl-ACPs	2	2
CPD-12849	0	3
OXALYL-COA	0	1
XYLITOL	1	1
CPD-12932	2	2
2-METHYL-6-SOLANYL-14-BENZOQUINONE	2	2
CPD-14101	2	2
O-SUCCINYLBENZOATE	2	2
DEOXY-D-RIBOSE-1-PHOSPHATE	1	1
CPD-19716	1	0
TYR	2	2
INDOLEYL-CPD	1	0
CPD-13852	2	2
INDOLE_ACETALDEHYDE	2	2
PRPP	2	2
4-CYTIDINE-5-DIPHOSPHO-2-C	2	2
ACETYL-GLU	2	2
DOPAMINE	2	0
CPD-13357	2	4
CPD-569	1	0
CPD-12692	0	1
FMN	2	2
S-ALLANTOIN	2	2
PALMITYL-COA	2	2
LAUROYLCOA-CPD	2	2
FARNESYL-PP	2	2
Oleoyl-ACPs	1	1
CPD1F-130	1	1
CPD-14443	2	2
KDO-8P	1	0
DEOXYURIDINE	1	1
CPD-11281	4	4
BA+2	4	4
CPD-20465	2	2
PROTOPORPHYRIN_IX	2	2
CPD-7224	2	2
UROCANATE	1	0
IMP	2	2
3-oxo-petroselinoyl-ACPs	0	1
CPD-15999	0	1
UDP-OHMYR-GLUCOSAMINE	1	1
PHE	2	2
CARBON-DIOXIDE	4	4
