	PFluv_CLine_REuro	CLine_CLine_REuro	PFluv_CLine_MEckl	CLine_PFluv_CPhae	PFluv_PFluv_CPhae	CLine_CLine_MEckl	PFluv_PFluv_AHeli	CLine_PFluv_AHeli
DIHYDROXY-ACETONE-PHOSPHATE	2	2	2	2	2	2	4	4
AGMATHINE	2	2	2	2	2	2	2	2
DI-H-OROTATE	2	2	2	2	2	2	2	2
CPD-16459	4	4	4	4	4	4	4	4
D-GLUCOSAMINE-6-P	2	2	2	2	2	2	2	2
4-AMINO-4-DEOXYCHORISMATE	2	2	2	2	2	2	2	2
CPD-654	1	1	1	0	0	1	1	1
LI+	4	4	4	4	4	4	4	4
PPI	4	4	4	4	4	4	4	4
CPD-381	2	2	2	2	2	2	2	2
3-hydroxy-cis-D7-tetraecenoyl-ACPs	0	0	0	1	1	0	1	1
3-KETOBUTYRATE	2	2	2	2	2	2	2	2
3-oxo-palmitoyl-ACPs	2	2	2	2	2	2	2	2
CPD-11281	4	4	4	2	2	4	4	4
CPD-22003	2	2	2	2	2	2	2	2
AMINO-ACETONE	0	0	1	0	0	1	1	1
CPD-659	2	2	2	2	2	2	2	2
CPD-17492	2	2	2	2	2	2	2	2
b-Keto-cis-D5-dodecenoyl-ACPs	0	0	0	1	1	0	1	1
FORMAMIDE	0	0	1	0	0	1	0	0
URATE	2	2	2	2	2	2	4	4
RETINAL	0	0	1	0	0	1	0	0
3-HYDROXY-L-KYNURENINE	0	0	1	0	0	1	1	1
3-5-ADP	4	4	4	2	2	4	2	2
CPD-19746	2	2	2	2	2	2	2	2
L-DEHYDRO-ASCORBATE	2	2	2	2	2	2	2	2
CPD-15190	2	2	2	2	2	2	2	2
GDP-MANNOSE	2	2	2	2	2	2	2	2
CPD0-2474	4	4	4	4	4	4	4	4
CPD-7246	1	1	0	0	0	0	0	0
GLYCOLLATE	2	2	2	2	2	2	2	2
4-HYDROXY-BUTYRATE	0	0	0	1	1	0	1	1
2-AMINOMUCONATE_SEMIALDEHYDE	0	0	1	0	0	1	0	0
CPD-22008	2	2	2	2	2	2	2	2
4-OXOGLUTARAMATE	0	0	1	0	0	1	0	0
WATER	4	4	4	4	4	4	4	4
N-ALPHA-ACETYLORNITHINE	2	2	2	2	2	2	2	2
CPD-12116	0	0	1	0	0	1	0	0
CPD-18508	0	0	0	1	1	0	0	0
CPD-12179	0	0	0	1	1	0	0	0
OCTAPRENYL-DIPHOSPHATE	1	1	1	1	1	1	1	1
OXALACETIC_ACID	2	2	2	2	2	2	4	4
ADENOSYL-P4	4	4	2	2	2	2	2	2
FARNESYL-PP	2	2	2	2	2	2	2	2
OROTATE	2	2	2	2	2	2	2	2
DIHYDROXY-BUTANONE-P	2	2	2	2	2	2	4	4
CPD-16500	0	0	3	0	0	3	0	0
CPD-16467	1	1	0	0	0	0	0	0
ALL-TRANS-HEXAPRENYL-DIPHOSPHATE	2	2	2	2	2	2	2	2
Dodec-2-enoyl-ACPs	2	2	2	2	2	2	2	2
CPD-13524	0	0	1	0	0	1	0	0
2-PG	2	2	2	2	2	2	4	4
OH	4	4	4	4	4	4	4	4
CPD-20465	2	2	2	2	2	2	2	2
NADH	4	4	4	4	4	4	4	4
SUC-COA	2	2	2	2	2	2	2	2
PREPHENATE	2	2	2	2	2	2	2	2
ERYTHROSE-4P	2	2	2	2	2	2	4	4
HS	4	4	4	2	2	4	4	4
DEOXYURIDINE	1	1	1	0	0	1	1	1
PHOSPHORYL-ETHANOLAMINE	2	2	2	2	2	2	2	2
PHYTYL-PYROPHOSPHATE	2	2	2	2	2	2	2	2
2-DH-3-DO-D-ARABINONATE	1	1	0	0	0	0	0	0
CPD0-1643	0	0	0	0	0	0	1	1
4-AMINO-BUTYRALDEHYDE	1	1	0	0	0	0	1	1
CPD-6972	2	2	2	2	2	2	2	2
CPD-1136	0	0	0	1	1	0	0	0
MG-PROTOPORPHYRIN	2	2	2	2	2	2	2	2
5-P-BETA-D-RIBOSYL-AMINE	2	2	2	2	2	2	2	2
UROCANATE	0	0	1	0	0	1	0	0
GLN	2	2	2	2	2	2	2	2
F-	4	4	4	4	4	4	4	4
CPD-12367	2	2	2	2	2	2	2	2
CPD-8886	4	4	4	4	4	4	4	4
CPD-14278	2	2	2	2	2	2	2	2
CPD-13851	4	4	4	2	2	4	4	4
PALMITYL-COA	2	2	2	2	2	2	2	2
XYLULOSE-5-PHOSPHATE	2	2	2	2	2	2	4	4
Trans-D2-decenoyl-ACPs	2	2	2	2	2	2	2	2
UDP-OHMYR-ACETYLGLUCOSAMINE	1	1	0	0	0	0	1	1
SULFATE	4	4	4	4	4	4	4	4
FORMATE	2	2	2	4	4	2	4	4
CPD-15016	2	2	2	2	2	2	2	2
FORMYL-ISOGLUTAMINE	0	0	1	0	0	1	0	0
GLYOX	2	2	2	2	2	2	2	2
Palmitoyl-ACPs	2	2	2	2	2	2	2	2
CPD-13610	2	2	2	2	2	2	2	2
CPD-622	1	1	1	1	1	1	1	1
3-CARBOXY-3-HYDROXY-ISOCAPROATE	2	2	2	2	2	2	2	2
CPD-7836	2	2	2	2	2	2	2	2
CPD-22406	1	1	0	0	0	0	1	1
CPD0-2461	1	1	0	0	0	0	3	3
ISOGLUTAMINE	0	0	1	0	0	1	0	0
CPD-24335	2	2	2	2	2	2	2	2
ETHANOL-AMINE	2	2	2	2	2	2	2	2
APS	4	4	4	2	2	4	4	4
CPD-24844	2	2	2	2	2	2	4	4
CPD-22016	2	2	2	2	2	2	2	2
2-METHYL-6-SOLANYL-14-BENZOQUINONE	2	2	2	2	2	2	2	2
TARTRONATE-S-ALD	1	1	1	0	0	1	1	1
L-LACTATE	1	1	0	0	0	0	3	3
10-FORMYL-DIHYDROFOLATE-GLU-N	0	2	1	2	1	2	0	2
3R-7Z-3-hydroxy-hexadec-7-enoyl-ACPs	0	0	0	1	1	0	1	1
INDOLE	2	2	2	2	2	2	2	2
3Z-dodec-3-enoyl-ACPs	0	0	0	1	1	0	1	1
CPD-14276	2	2	2	2	2	2	2	2
L-RIBULOSE-5-P	0	0	0	0	0	0	3	3
CPD-594	0	0	0	0	0	0	1	1
AMMONIUM	4	4	4	4	4	4	4	4
3-oxo-dodecanoyl-ACPs	2	2	2	2	2	2	2	2
NADP	4	4	4	4	4	4	4	4
CPD-13907	2	2	2	2	2	2	2	2
Reduced-flavodoxins	4	4	4	4	4	4	4	4
ADENOSINE	4	4	4	4	4	4	4	4
2-METHYL-3-HYDROXY-BUTYRYL-COA	1	1	1	1	1	1	1	1
CPD-13852	2	2	2	2	2	2	2	2
D-Ribofuranose	2	2	2	2	2	2	4	4
CPD0-1699	1	1	1	1	1	1	0	0
CPD-18085	4	4	4	4	4	4	4	4
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	2	2	2	2	2	2	4	4
DUMP	2	2	2	2	2	2	2	2
ACETYL-ACP	2	2	2	2	2	2	2	2
CPD0-1456	0	1	0	0	0	0	0	1
Ubiquinones	4	4	4	4	4	4	4	4
ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	1	1	0	0	0	0	0	0
CPD-469	2	2	2	2	2	2	2	2
ADP-L-GLYCERO-D-MANNO-HEPTOSE	0	0	0	1	1	0	0	0
DELTA3-ISOPENTENYL-PP	2	2	2	2	2	2	2	2
PHOSPHORIBULOSYL-FORMIMINO-AICAR-P	2	2	2	2	2	2	2	2
CPD-10353	0	0	0	1	1	0	3	3
CPD-20826	0	0	0	0	0	0	1	1
KDO-8P	1	1	1	0	0	1	0	0
CAMP	4	4	4	4	4	4	2	2
CPD-12119	0	0	1	0	0	1	0	0
CPD-12321	2	2	2	2	2	2	2	2
CPD1G-332	2	2	2	2	2	2	2	2
ADENINE	1	1	0	0	0	0	3	3
CPD-22402	1	1	0	0	0	0	0	0
BETA-D-FRUCTOSE	0	0	1	1	1	1	3	3
N-FORMYLKYNURENINE	2	2	2	2	2	2	2	2
TRP	2	2	2	2	2	2	2	2
CPD-9924	2	2	2	2	2	2	2	2
GUANOSINE-5DP-3DP	2	2	2	2	2	2	2	2
UDP-MANNACA	1	0	0	0	0	0	1	0
CPD-22011	2	2	2	2	2	2	2	2
Crotonyl-ACPs	2	2	2	2	2	2	2	2
D-XYLULOSE	1	1	1	0	0	1	3	3
DEOXYXYLULOSE-5P	2	2	2	2	2	2	4	4
CPD-15317	2	2	2	2	2	2	4	4
MN+2	4	4	4	4	4	4	4	4
2-OXOBUTANOATE	1	1	1	1	1	1	1	1
CPD-22272	2	2	2	2	2	2	2	2
6-PYRUVOYL-5678-TETRAHYDROPTERIN	2	2	2	2	2	2	2	2
CPD-12849	0	0	0	0	0	0	3	3
CPD-367	2	2	2	2	2	2	2	2
FORMYL-THF-GLU-N	2	2	2	2	2	2	4	4
CPD-14931	0	2	1	2	1	2	0	2
CPD-846	4	4	4	2	2	4	4	4
CPD-465	0	0	0	1	1	0	0	0
CPD-10723	1	1	1	0	0	1	1	1
D-LACTATE	2	2	2	2	2	2	4	4
NMNH	2	2	2	4	4	2	4	4
AICAR	2	2	2	2	2	2	2	2
CPD-22014	2	2	2	2	2	2	2	2
CPD-1772	0	0	0	0	0	0	1	1
UDP-OHMYR-GLUCOSAMINE	1	1	0	0	0	0	1	1
CPD-19757	0	0	0	0	0	0	1	1
CPD-10280	2	2	2	2	2	2	2	2
Oxidized-ferredoxins	4	4	4	4	4	4	4	4
TDP	2	2	2	2	2	2	2	2
CARNOSINE	0	0	1	1	1	1	1	1
5-OXOPROLINE	2	2	2	2	2	2	2	2
Stearoyl-ACPs	2	2	2	2	2	2	2	2
5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	2	2	2	2	2	2	2	2
CPD-9646	1	2	1	2	1	2	1	2
CPD-15530	2	2	2	2	2	2	2	2
3-HYDROXY-ANTHRANILATE	0	0	1	0	0	1	1	1
PUTRESCINE	2	2	2	2	2	2	2	2
CPD-18063	0	0	1	0	0	1	0	0
L-DOPACHROME	0	2	0	2	0	2	0	2
BISOHMYR-GLUCOSAMINYL-1P	1	1	0	0	0	0	1	1
CPD-464	2	2	2	2	2	2	2	2
L-ORNITHINE	2	2	2	2	2	2	2	2
CPD-470	1	1	0	0	0	0	1	1
P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	2	2	2	2	2	2	2	2
SUPER-OXIDE	4	4	4	4	4	4	4	4
ASN	2	2	2	2	2	2	2	2
CPD-15633	1	1	0	0	0	0	0	0
CPD-255	0	0	0	0	0	0	3	3
CPD-649	2	2	2	2	2	2	2	2
Cis-Delta5-dodecenoyl-ACPs	0	0	0	1	1	0	1	1
HOMOGENTISATE	2	2	2	2	2	2	2	2
5-OH-2-4-DIOXOPENTANOATE	0	0	0	0	0	0	1	1
FAD	2	2	2	2	2	2	2	2
GLY	2	2	2	2	2	2	2	2
CPD-7643	1	1	0	0	0	0	0	0
CPD-12709	0	0	0	0	0	0	1	1
CPD-22020	2	2	2	2	2	2	2	2
ADENOSYLCOBALAMIN	4	4	4	4	4	4	4	4
UROPORPHYRINOGEN-III	2	2	2	2	2	2	2	2
GUANOSINE	2	2	2	2	2	2	2	2
CPD-627	0	0	0	1	1	0	1	1
CPD0-2056	2	2	2	2	2	2	2	2
GERANYL-PP	2	2	2	2	2	2	2	2
CPD-6124	1	1	0	0	0	0	1	1
CPD-12377	4	4	4	4	4	4	4	4
CPD-15435	1	1	1	1	1	1	1	1
CPD-20264	0	2	0	2	0	2	0	2
5-10-METHENYL-THF-GLU-N	2	2	2	2	2	2	4	4
Cis-vaccenoyl-ACPs	0	0	1	1	1	1	1	1
CPD-12253	1	1	1	1	1	1	1	1
CPD1F-130	0	0	1	1	1	1	0	0
CARBON-MONOXIDE	2	2	2	2	2	2	2	2
PHOSPHORIBOSYL-FORMAMIDO-CARBOXAMIDE	2	2	2	2	2	2	2	2
MANNITOL-1P	2	2	2	2	2	2	2	2
OXALATE	2	2	2	2	2	2	2	2
Light	4	4	4	4	4	4	4	4
CO3	4	4	4	4	4	4	4	4
CPD-16618	1	1	1	0	0	1	0	0
L-HISTIDINOL-P	2	2	2	2	2	2	2	2
CPD-827	0	0	0	0	0	0	1	1
CPD-16020	0	0	0	0	0	0	1	1
L-GLUTAMATE-5-P	2	2	2	2	2	2	2	2
FMNH2	0	0	0	1	1	0	0	0
7-8-DIHYDROPTEROATE	2	2	2	2	2	2	2	2
CPD-15154	0	2	0	2	0	2	0	2
CPD-7224	2	2	2	2	2	2	2	2
CPD-13910	2	2	2	2	2	2	2	2
GMP	2	2	2	2	2	2	2	2
NICOTINAMIDE_NUCLEOTIDE	3	3	1	3	3	1	3	3
CPD-535	2	2	2	2	2	2	2	2
L-GLUTAMATE_GAMMA-SEMIALDEHYDE	2	2	2	2	2	2	2	2
HYDROXYMETHYLBILANE	2	2	2	2	2	2	2	2
CPD-14101	2	2	2	2	2	2	2	2
OROTIDINE-5-PHOSPHATE	2	2	2	2	2	2	2	2
11Z-3-oxo-icos-11-enoyl-ACPs	0	0	1	1	1	1	1	1
HISTIDINOL	0	0	1	1	1	1	1	1
OXALYL-COA	0	0	0	1	1	0	1	1
L-CYSTEATE	2	2	2	2	2	2	2	2
BUTANEDIOL	0	0	0	1	1	0	0	0
Tetradec-2-enoyl-ACPs	2	2	2	2	2	2	2	2
DEHYDRO-DEOXY-GALACTONATE-PHOSPHATE	2	2	2	2	2	2	4	4
MALONATE-S-ALD	2	2	2	2	2	2	2	2
2-DEHYDROPANTOATE	2	2	2	2	2	2	4	4
IMINOASPARTATE	2	2	2	2	2	2	2	2
2-KETO-3-METHYL-VALERATE	1	1	1	1	1	1	1	1
DGDP	2	2	2	2	2	2	2	2
ACETYL-COA	2	2	2	2	2	2	2	2
NA+	4	4	4	4	4	4	4	4
C-DI-GMP	1	1	0	1	1	0	1	1
AMINO-OXOBUT	0	0	1	0	0	1	1	1
GLUCONATE	0	0	1	0	0	1	0	0
CPD-253	0	2	0	2	0	2	0	2
CPD-10818	2	2	2	2	2	2	2	2
CPD-25381	2	2	2	2	2	2	4	4
P-HYDROXY-PHENYLPYRUVATE	2	2	2	2	2	2	2	2
CPD-10260	2	2	2	2	2	2	2	2
URIDINE	2	2	2	2	2	2	2	2
THF-GLU-N	4	4	4	4	4	4	4	4
CPD-9247	0	0	1	1	1	1	1	1
ACP	4	4	4	4	4	4	4	4
3-oxo-decanoyl-ACPs	2	2	2	2	2	2	2	2
TYRAMINE	2	2	2	2	2	2	2	2
NITRITE	4	4	4	2	2	4	4	4
CPD-22021	2	2	2	2	2	2	2	2
SO3	4	4	4	2	2	4	4	4
Dodecanoyl-ACPs	2	2	2	2	2	2	2	2
CPD-24843	2	2	2	2	2	2	4	4
Red-Thioredoxin	4	4	4	4	4	4	4	4
CDP	2	2	2	2	2	2	2	2
DIHYDROXYNAPHTHOATE	0	0	1	0	0	1	0	0
PROPANE-1-2-DIOL	0	0	1	0	0	1	1	1
CPD0-1108	2	2	2	2	2	2	4	4
GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE	2	2	2	2	2	2	2	2
CPD-8259	4	4	2	4	4	2	2	2
MALONYL-COA	2	2	2	2	2	2	2	2
NICOTINAMIDE_RIBOSE	3	3	1	3	3	1	1	1
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE	2	2	2	2	2	2	2	2
PRO	2	2	2	2	2	2	2	2
CPD-346	0	0	0	0	0	0	3	3
MANNOSE-1P	2	2	2	2	2	2	4	4
7Z-3-oxo-hexadec-7-enoyl-ACPs	0	0	0	1	1	0	1	1
CPD-13611	2	2	2	2	2	2	2	2
DIHYDRONEOPTERIN-P3	2	2	2	2	2	2	2	2
GLUTAMATE-1-SEMIALDEHYDE	2	2	2	2	2	2	2	2
CPD-15586	1	1	0	0	0	0	0	0
UNDECAPRENYL-DIPHOSPHATE	2	2	2	2	2	2	2	2
D-SEDOHEPTULOSE-7-P	2	2	2	2	2	2	4	4
3R-9Z-3-hydroxy-octadec-9-enoyl-ACPs	0	0	0	1	1	0	1	1
5Z-3-oxo-tetradec-5-enoyl-ACPs	0	0	0	1	1	0	1	1
CPD-309	2	2	2	2	2	2	2	2
CPD-13613	2	2	2	2	2	2	2	2
OXIDIZED-GLUTATHIONE	4	4	4	4	4	4	4	4
Trans-D2-cis-D7-tetradecenoyl-ACPs	0	0	0	1	1	0	1	1
RIBOSE-1P	2	2	2	2	2	2	4	4
CPD-13612	2	2	2	2	2	2	2	2
PANTOTHENATE	2	2	2	2	2	2	2	2
CPD-17070	2	2	2	2	2	2	2	2
L-RIBULOSE	0	0	0	0	0	0	3	3
CPD-22006	2	2	2	2	2	2	2	2
CPD-13534	0	0	0	0	0	0	1	1
NIACINAMIDE	1	1	1	1	1	1	1	1
PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	2	2	2	2	2	2	2	2
LEU	2	2	2	2	2	2	2	2
CYTOSINE	2	2	2	2	2	2	2	2
CPD-22407	1	1	0	0	0	0	1	1
CPD-12692	0	0	0	0	0	0	1	1
3R-11Z-3-hydroxy-icos-11-enoyl-ACPs	0	0	1	1	1	1	1	1
ADP-D-GLYCERO-D-MANNO-HEPTOSE	0	0	0	1	1	0	0	0
CPD-227	0	0	1	0	0	1	3	3
Oleoyl-ACPs	0	0	1	1	1	1	1	1
UREA	2	2	2	2	2	2	4	4
Cis-Delta7-tetradecenoyl-ACPs	0	0	0	1	1	0	1	1
UDP	2	2	2	2	2	2	2	2
R-3-hydroxy-cis-vaccenoyl-ACPs	0	0	1	1	1	1	1	1
R-3-hydroxymyristoyl-ACPs	2	2	2	2	2	2	2	2
3-UREIDO-ISOBUTYRATE	1	1	0	0	0	0	0	0
CPD-14280	2	2	2	2	2	2	2	2
CYS	2	2	2	2	2	2	2	2
CPD-660	2	2	2	2	2	2	2	2
CPD-110	0	0	0	1	1	0	1	1
CPD-12932	2	2	2	2	2	2	2	2
GLC	2	2	2	2	2	2	2	2
CPD-497	2	2	2	2	2	2	2	2
CPD-14275	2	2	2	2	2	2	2	2
D-GALACTONATE	0	0	0	0	0	0	3	3
CIT	2	2	2	2	2	2	2	2
CPD1F-114	1	1	1	1	1	1	0	0
4Z-9Z-Octadec-4-9-dienoyl-acp	0	0	1	1	1	1	0	0
DCTP	2	2	2	2	2	2	2	2
CPD-15979	2	2	2	2	2	2	4	4
Myristoyl-ACPs	2	2	2	2	2	2	2	2
8-Oxo-dGTP	2	2	2	2	2	2	2	2
5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE	2	2	2	2	2	2	2	2
CPD-1117	0	0	0	0	0	0	1	1
PHENYLETHYLAMINE	2	2	2	2	2	2	2	2
OH-PYR	1	1	1	0	0	1	1	1
7-AMINOMETHYL-7-DEAZAGUANINE	1	1	0	1	1	0	0	0
CPD-12249	0	0	0	1	0	1	0	0
CPD-11712	2	2	2	2	2	2	2	2
L-BETA-ASPARTYL-P	2	2	2	2	2	2	2	2
CPD-12118	0	0	1	0	0	1	0	0
GUANIDOACETIC_ACID	2	2	2	2	2	2	2	2
LAUROYLCOA-CPD	2	2	2	2	2	2	2	2
CPD-13243	2	2	2	2	2	2	2	2
5-HYDROXY-CTP	2	2	2	2	2	2	2	2
METHYL-GLYOXAL	0	0	1	0	0	1	3	3
3-P-HYDROXYPYRUVATE	2	2	2	2	2	2	4	4
R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	2	2	2	2	2	2	2	2
OH-MYRISTOYL	1	1	0	0	0	0	1	1
CPD-641	2	2	2	2	2	2	2	2
SUCC-S-ALD	1	1	0	1	1	0	1	1
CPD-804	0	0	0	0	0	0	1	1
1516-DIHYDROBILIVERDIN	2	2	2	2	2	2	2	2
CPD-10809	2	2	2	2	2	2	2	2
IMIDAZOLE-ACETOL-P	2	2	2	2	2	2	2	2
CPD-22009	2	2	2	2	2	2	2	2
4-OH-4-ACETYL-2-OXOGLUTARATE	2	2	2	2	2	2	4	4
DIHYDRONEOPTERIN-P	2	2	2	2	2	2	2	2
CPD-380	2	2	2	2	2	2	2	2
CPD-335	0	0	0	0	0	0	1	1
METHYLENE-THF-GLU-N	2	2	2	2	2	2	4	4
R-3-hydroxydodecanoyl-ACPs	2	2	2	2	2	2	2	2
DAMP	2	2	2	2	2	2	4	4
TRYPTAMINE	2	2	2	2	2	2	2	2
CPDQT-4	2	2	2	2	2	2	2	2
INDOLEYL-CPD	0	0	1	0	0	1	0	0
P3I	2	2	2	2	2	2	2	2
HYDROXYMUCONATE-SALD	0	0	0	1	1	0	1	1
CPD-9016	0	0	0	0	0	0	3	3
PALMITALDEHYDE	2	2	2	2	2	2	2	2
GLT	2	2	2	2	2	2	2	2
CPD-14736	0	0	1	0	0	1	1	1
RIBOFLAVIN	2	2	2	2	2	2	2	2
R-3-hydroxystearoyl-ACPs	2	2	2	2	2	2	2	2
5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	2	2	2	2	2	2	2	2
CGMP	2	2	2	2	2	2	2	2
CPD-8052	1	1	0	0	0	0	1	1
D-SEDOHEPTULOSE-1-7-P2	2	2	2	2	2	2	4	4
DCMP	2	2	2	2	2	2	2	2
BISOHMYR-GLC	1	1	0	0	0	0	1	1
ACET	2	2	2	2	2	2	2	2
CPD-365	1	1	0	0	0	0	1	1
