#
#  rhodopirellula_europaea_6ccyc 1.0 Reactions link table generated on Sun Jun 25, 2023
#
DISULFOXRED-RXN	EC-1.8.4
RXN-18598	
RXN-18589	EC-4.1.1.104
PROPKIN-RXN	EC-2.7.2.7	EC-2.7.2.1	EC-2.7.2.15	EC-2.7.2.14
RXN-18557	EC-6.1.3.1
RXN-18553	EC-6.1.3.1
RXN-18600	EC-1.1.1.408
FUCPALDOL-RXN	EC-4.1.2.17
RXN-18599	
RXN-18588	EC-4.1.1.104
ENOYL-ACP-REDUCT-NADPH-RXN	EC-1.3.1.10	EC-1.3.1.104	EC-1.3.1.39
DARABALDOL-RXN	EC-4.1.2.17
PABASYN-RXN	EC-2.6.1.85
RXN-22713	
N-ACETYLGLUTPREDUCT-RXN	EC-1.2.1.38
2.1.1.137-RXN	EC-2.1.1.137
METHYLGLUTACONYL-COA-HYDRATASE-RXN	EC-4.2.1.18
RXN-22335	
RXN-22363	EC-2.1.1.137
RXN-10642	EC-4.1.1.37
1.1.1.136-RXN	EC-1.1.1.136
RXN-21028	EC-2.1.1.137
RXN-14756	EC-1.1.1.136
RXN-22334	
UROGENDECARBOX-RXN	EC-4.1.1.37
RXN-22336	
GDPMANDEHYDRA-RXN	EC-4.2.1.47
RXN-8344	EC-2.7.7.75
RXN-9521	EC-1.3.1.104	EC-1.3.1.10	EC-1.3.1.39
RXN-22330	EC-2.1.1.137
PROTOCATECHUATE-34-DIOXYGENASE-RXN	EC-1.13.11.3
RXN-22358	EC-2.1.1.137
RXN-22332	
RXN-22333	
RXN-22329	
RXN-9526	EC-1.3.1.104	EC-1.3.1.10	EC-1.3.1.39
RXN-9731	EC-1.13.11.3
HISTAMINOTRANS-RXN	EC-2.6.1.9
RXN-9515	EC-1.3.1.104	EC-1.3.1.10	EC-1.3.1.39
RXN-1961	EC-6.3.4.19
FUMHYDR-RXN	EC-4.2.1.2
GCVT-RXN	EC-2.1.2.10
GCVP-RXN	EC-1.4.4.2
SEDOBISALDOL-RXN	EC-4.1.2.13
PYRIMSYN3-RXN	EC-2.7.4.7
RXN-19916	EC-4.1.2.13
OHMETPYRKIN-RXN	EC-2.7.1.49
MANNITOL-2-DEHYDROGENASE-RXN	EC-1.1.1.67
RXN-18435	EC-3.2.2.23
RXN-8631	EC-4.1.2.13
ALTRO-OXIDOREDUCT-RXN	EC-1.1.1.58
PROTOPORGENOXI-RXN	EC-1.3.3.4
F16ALDOLASE-RXN	EC-4.1.2.13
RXN-12195	EC-3.6.1.15
RXN-21266	EC-3.2.2.23
RXN-17517	EC-1.3.3.15
3.2.2.23-RXN	EC-3.2.2.23
SUPEROX-DISMUT-RXN	EC-1.15.1.1
THIAMINASE-RXN	EC-3.5.99.2
RXN-12613	EC-3.5.99.2
CITSYN-RXN	EC-2.3.3.3	EC-2.3.3.16	EC-2.3.3.1
RXN-20555	EC-3.1.1.4
5.1.1.17-RXN	EC-5.1.1.17
RXN-20561	EC-3.1.1.4
RXN-14569	EC-2.7.7.87
RXN1YI0-14	EC-1.3.5.1
RXN1YI0-24	
GALACTURIDYLYLTRANS-RXN	EC-2.7.7.12
RXN-15447	
4.2.1.58-RXN	EC-4.2.1.59
RXN-16631	EC-4.2.1.59
GLYCOGENSYN-RXN	EC-2.4.1.21
RXN-15378	EC-1.3.5.1
RXN-14451	
1.5.1.20-RXN	EC-1.5.1.20
QUINOPRIBOTRANS-RXN	EC-2.4.2.19
RXN0-4641	EC-4.2.1.126
GLYRIBONUCSYN-RXN	EC-6.3.4.13
RXN-14963	EC-1.3.5.1
RXN-14962	
4.1.1.38-RXN	EC-4.1.1.38
SULFITE-REDUCTASE-FERREDOXIN-RXN	EC-1.8.7.1
ADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.7
RXN-21393	EC-1.3.5.1
RXN-13997	EC-3.5.4.33
SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN	EC-1.3.5.1
R601-RXN	EC-1.3.5.1
3.4.21.88-RXN	EC-3.4.21.88
RXN-14971	EC-1.3.5.1
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN	EC-1.3.5.1
2PGADEHYDRAT-RXN	EC-4.2.1.11
RXN0-5245	
3.1.26.5-RXN	EC-3.1.26.5
RIBOFLAVIN-SYN-RXN	EC-2.5.1.9
RXN-8340	EC-4.1.99.22
RXN-11633	EC-2.1.1.182
RXN0-6480	EC-3.1.26.5
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	EC-4.2.1.59
DIHYDROOROT-RXN	EC-3.5.2.3
QUINOLINATE-SYNTHA-RXN	EC-2.5.1.72
4.99.1.3-RXN	EC-4.99.1.3
RXN0-5298	EC-5.1.3.29
3.2.1.80-RXN	EC-3.2.1.153	EC-3.2.1.80
RXN-1841	EC-3.2.1.80
SAMDECARB-RXN	EC-4.1.1.50
RNA-3-PHOSPHATE-CYCLASE-RXN	EC-6.5.1.4
SPERMIDINESYN-RXN	EC-2.5.1.16
RXN-17930	
3.2.1.65-RXN	EC-3.2.1.65
RXN-17931	
RXN-17928	
RXN-9520	EC-4.2.1.59
RXN0-743	EC-5.4.99.18
SUCROSE-PHOSPHORYLASE-RXN	EC-2.4.1.7
RXN0-742	EC-6.3.4.18
TRANSALDOL-RXN	EC-2.2.1.2
RXN-11484	EC-2.3.1.47
RXN-10058	EC-3.5.4.26
7KAPSYN-RXN	EC-2.3.1.47
RIBOFLAVINSYNDEAM-RXN	EC-3.5.4.26
RIBOFLAVINSYNREDUC-RXN	EC-1.1.1.193
RXN-11836	EC-5.4.99.22
4.2.1.59-RXN	EC-4.2.1.59
3.4.21.26-RXN	EC-3.4.21.26
RXN-11834	EC-5.4.99.20
GLUCUROISOM-RXN	EC-5.3.1.12
RXN-11576	EC-2.1.1.172
GALACTUROISOM-RXN	EC-5.3.1.12
PYRNUTRANSHYDROGEN-RXN	EC-1.6.1.2	EC-1.6.1.3	EC-1.6.1.1
ASPDECARBOX-RXN	EC-4.1.1.11
RXN-17502	EC-2.4.1.340
RXN-17362	EC-3.4.23.36
RXN-17634	EC-3.5.1.124
RXN-17501	EC-2.4.1.339
RXN0-6550	EC-3.2.2.9
RXN-17630	EC-3.5.1.124
CEREBROSIDE-SULFATASE-RXN	EC-3.1.6.8
2.7.3.9-RXN	EC-2.7.3.9
METHYLTHIOADENOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.9	EC-3.2.2.16
RXN-17354	
RXN-17355	
ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN	EC-3.2.2.9
RXN-17632	EC-3.5.1.124
RXN-9780	EC-3.2.2.26
CHORISMATEMUT-RXN	EC-5.4.99.5
PREPHENATEDEHYDRAT-RXN	EC-4.2.1.51
RXN-8667	EC-1.11.1.21
GLUC1PURIDYLTRANS-RXN	EC-2.7.7.64	EC-2.7.7.9
RXN0-4261	EC-5.6.2.3
RXN-11598	EC-2.1.1.193
CYTOCHROME-C-PEROXIDASE-RXN	EC-1.11.1.5
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	EC-2.1.2.11
RXN-11135	EC-5.6.2.4
DIOHBUTANONEPSYN-RXN	EC-4.1.99.12
RXN-15635	EC-2.1.2.11
GTP-CYCLOHYDRO-II-RXN	EC-3.5.4.25
5-OXOPROLINASE-ATP-HYDROLYSING-RXN	EC-3.5.2.9
RXN0-5114	EC-3.1.3.3
RXN-12579	EC-3.1.1.3
PSERPHOSPHA-RXN	EC-3.1.3.3
RXN-8999	EC-2.5.1.31
RXN-22438	EC-1.5.1.54
RXN-12472	EC-2.1.1.217
RXN0-2161	EC-6.1.1.11
RXN-21399	EC-3.1.1.3
SERINE--TRNA-LIGASE-RXN	EC-6.1.1.11
RXN-12086	EC-3.1.1.3
6PGLUCONOLACT-RXN	EC-3.1.1.31
RXN-12038	EC-2.4.1.266
RXN-14570	EC-2.3.1.234
RXN-12041	EC-2.4.1.266
RXN0-6563	EC-4.1.2.48
TRIACYLGLYCEROL-LIPASE-RXN	EC-3.1.1.34	EC-3.1.1.3
RXN-8851	EC-2.4.1.266
THREONINE-ALDOLASE-RXN	EC-4.1.2.48	EC-4.1.2.5
RXN-9518	EC-1.1.1.100
LTAA-RXN	EC-4.1.2.48	EC-4.1.2.49
RXN-15952	EC-3.1.4.58
DAHPSYN-RXN	EC-2.5.1.54
RXN-21298	EC-2.4.1.266
2OXOGLUTDECARB-RXN	EC-1.2.4.2
RXN-18552	EC-1.1.1.412
RXN-2882	EC-4.2.1.147
RXN-15945	EC-2.5.1.131
RXN-18570	EC-1.1.1.412
PEPDEPHOS-RXN	EC-2.7.1.40
RXN-10856	EC-5.1.99.8
RXN-14117	EC-2.7.1.40
RXN-18561	EC-1.1.1.412
INOSINE-NUCLEOSIDASE-RXN	EC-3.2.2.2
RXN-14207	EC-2.7.1.40
H2NEOPTERINALDOL-RXN	EC-4.1.2.25
RXN-14192	EC-2.7.1.40
RXN-18556	EC-1.1.1.412
RXN-10857	EC-4.1.2.25
2.8.1.6-RXN	EC-2.8.1.6
RXN-17472	
RXN-18569	EC-1.1.1.412
RXN-17473	
THYMIDYLATESYN-RXN	EC-2.1.1.45
3-OXOACYL-ACP-REDUCT-RXN	EC-1.1.1.100
RXN-15944	EC-2.7.4.31
RXN-18565	EC-1.1.1.412
RXN-18357	EC-1.5.1.3
1.1.1.253-RXN	EC-1.5.1.33
RXN-19329	EC-1.5.1.3
DIHYDROFOLATEREDUCT-RXN	EC-1.5.1.3
RXN-16480	EC-1.13.11.81
RXN-22709	EC-1.5.1.3
RXNQT-4191	EC-3.1.3.100
MERCAPYSTRANS-RXN	EC-2.8.1.2
2.1.1.71-RXN	EC-2.1.1.71
RXN-18702	
GLYOHMETRANS-RXN	EC-2.1.2.1
RXN-18703	
RXN4FS-2	EC-2.1.1.71
2.1.1.17-RXN	EC-2.1.1.17
RXN-12104	EC-1.17.99.6
RXN-12414	EC-1.3.99.31
RXN-12410	EC-1.3.99.29
URITRANS-RXN	EC-2.7.7.59
RXN-12247	EC-1.3.99.28
RXN-8023	
RXN-8024	
FOLYLPOLYGLUTAMATESYNTH-RXN	EC-6.3.2.17
RXN0-6359	EC-2.8.1.1
RXN-19368	EC-2.5.1.17
RXN-12411	EC-1.3.99.26
RXN-19365	
THIOSULFATE-SULFURTRANSFERASE-RXN	EC-2.8.1.1
RXN0-2921	EC-6.3.2.17
RXN-6341	EC-6.3.2.17
BTUR2-RXN	EC-2.5.1.17
RXN-8022	
RXN-19342	
RXN-19040	EC-2.8.1.1
RXN-19338	
RXN-19343	
RXN-12412	
FORMYLTHFGLUSYNTH-RXN	EC-6.3.2.17
2-DEHYDROPANTOATE-REDUCT-RXN	EC-1.1.1.169
RXN2DNV-43	EC-6.3.2.12
RXN-22913	EC-1.1.1.169
RXN-19335	EC-2.5.1.17
RXN-19340	
RXN-19366	
DIHYDROFOLATESYNTH-RXN	EC-6.3.2.12
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	EC-2.6.1.16
RXN-16630	EC-1.1.1.100
R-2-METHYLMALATE-DEHYDRATASE-RXN	EC-4.2.1.35
RXN-19339	EC-2.5.1.17
2.7.8.25-RXN	EC-2.4.2.52
RXN-19344	
RXN-13163	EC-4.2.1.33
R343-RXN	
RXN-8991	
R344-RXN	
3-ISOPROPYLMALISOM-RXN	
RXN-19369	EC-2.5.1.17
RXN-19349	
RXN-19334	
COBALADENOSYLTRANS-RXN	
RXN-19364	
CPM-KDOSYNTH-RXN	EC-2.7.7.38
RXN-9524	EC-1.1.1.100
RXN-8783	EC-3.1.1.17
GLUCONOLACT-RXN	EC-3.1.1.17
AIRS-RXN	EC-6.3.3.1
RXN-22623	EC-1.1.1.95
4.2.99.18-RXN	EC-4.2.99.18
RXN-7101	
PGLYCDEHYDROG-RXN	EC-1.1.1.95
KETOGLUTREDUCT-RXN	EC-1.1.1.399
RXN-22481	EC-3.5.1.108
RXN-16701	EC-1.1.1.399
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	EC-1.17.4.1
ADPREDUCT-RXN	EC-1.17.4.1
1.2.1.13-RXN	EC-1.2.1.13
RXN-22247	EC-3.5.1.108
2.7.7.13-RXN	EC-2.7.7.13
RXN0-748	EC-1.17.4.1
RXN-22242	EC-3.5.1.108
GDPREDUCT-RXN	EC-1.17.4.1
RXN-20788	EC-3.5.1.108
2.3.1.180-RXN	EC-2.3.1.180
UDPREDUCT-RXN	EC-1.17.4.1
3.2.1.10-RXN	EC-3.2.1.10
UDPACYLGLCNACDEACETYL-RXN	EC-3.5.1.108
RXN0-722	EC-1.17.4.1
RXN-9514	EC-1.1.1.100
RXN-20789	EC-2.3.1.129
ANTHRANSYN-RXN	EC-4.1.3.27
RXN0-747	EC-1.17.4.1
RXN-22711	
RXN-22246	EC-2.3.1.129
CDPREDUCT-RXN	EC-1.17.4.1
RXN-22729	
RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EC-1.17.4.1
UDPNACETYLGLUCOSAMACYLTRANS-RXN	EC-2.3.1.129
DXS-RXN	EC-2.2.1.7
RXN-22480	EC-2.3.1.129
RXN0-1441	EC-3.6.1.53	EC-3.6.1.13
NAD-KIN-RXN	EC-2.7.1.23
RXN-22244	EC-2.3.1.129
RXN-14517	EC-2.1.1.228
RXN-11843	EC-5.4.99.29
PEPCARBOX-RXN	EC-4.1.1.31
RXN-12458	EC-2.1.1.228
RXN-11842	EC-5.4.99.28
2.4.1.83-RXN	EC-2.4.1.83
RXN-11838	EC-5.4.99.24
RXN0-5462	EC-3.6.1.15	EC-3.6.5.6	EC-3.6.5.5	EC-3.6.5.4	EC-3.6.5.3	EC-3.6.5.2	EC-3.6.5.1	EC-3.6.1
RXN-16602	EC-2.4.1.83
N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN	EC-3.10.1.1
RXN-15878	EC-1.17.7.3
ADENYLATECYC-RXN	EC-4.6.1.1
ACETOLACTSYN-RXN	EC-2.2.1.6
ACETOOHBUTSYN-RXN	EC-2.2.1.6
RXN-14047	EC-4.2.1.3
ACONITATEDEHYDR-RXN	
ACONITATEHYDR-RXN	
2TRANSKETO-RXN	EC-2.2.1.1
3.5.1.81-RXN	EC-3.5.1.81
1TRANSKETO-RXN	EC-2.2.1.1
CYTOCHROME-C-OXIDASE-RXN	EC-7.1.1.9
RXN-15815	
RXN1YI0-22	EC-7.1.1.9
RXN-11586	EC-2.1.1.192
RXN-12647	
4-HYDROXYPROLINE-EPIMERASE-RXN	EC-5.1.1.8
TRANS-RXN-395	
RXN-18590	EC-1.1.1.411
RXN1YI0-21	
NQOR-RXN	EC-1.6.5.2
RXN-14178	EC-5.3.99.11
RXN-16333	
RXN-7572	EC-1.1.1.27
RXN1YI0-16	EC-1.6.5.2
RXN0-4181	EC-3.1.4.52
RXN-21238	
RXN-12303	EC-1.6.5.2
GLU6PDEHYDROG-RXN	EC-1.1.1.49
L-LACTATE-DEHYDROGENASE-RXN	EC-1.1.1.27
RXN0-7386	EC-1.6.5.2
RXN-14819	EC-1.1.1.363
RXN-19671	EC-1.6.5.2
RXN-21237	EC-7.1.1.9
RXN-15264	EC-2.5.1.120
RXN1YI0-19	
RXN-13519	
RXN0-5265	
HOMOCYSMET-RXN	EC-2.1.1.14
PROTEIN-KINASE-RXN	EC-2.7.12.1	EC-2.7.11.12	EC-2.7.11.17	EC-2.7.11.1	EC-2.7.11.13	EC-2.7.11.22	EC-2.7.11.21
RXN0-5063	EC-2.8.4.3
RXN-14291	EC-2.5.1.39
RXN-14480	
2.3.1.128-RXN	EC-2.3.1.266
RXN-14481	
3.1.6.12-RXN	EC-3.1.6.12
2.5.1.39-RXN	EC-2.5.1.39
RXN0-6950	EC-2.1.1.264
3.1.6.14-RXN	EC-3.1.6.14
RXN-9230	EC-2.5.1.39
RXN-11574	EC-2.1.1.173
RXN-9222	EC-2.5.1.39
4OHBENZOATE-OCTAPRENYLTRANSFER-RXN	EC-2.5.1.39
RXN-11570	EC-3.1.6.14
RXN-18434	EC-2.3.1.267
TRANS-RXN-178	EC-7.2.2.9
GLYCOLATE-REDUCTASE-RXN	EC-1.1.1.26
RXN-9003	EC-2.5.1.39
RXN-22366	EC-7.3.2.7
RXN-11839	EC-5.4.99.25
RXN-11368	EC-2.5.1.39
RXN-1884	EC-1.1.1.316
RXN-16937	EC-2.5.1.129
3.6.3.16-RXN	EC-7.3.2.7
RXN-11602	EC-2.1.1.191
